address,district,area,bedrooms,garage,type,rent,total,latitude,longitude,geometry,ID,NM_MESO,CD_GEOCODU,distance_to_schools,distance_to_hospitals,distance_to_parks
Rua Herval,Belenzinho,21,1,0,Studio e kitnet,2400,2939,-23.5414707,-46.5910856,POINT (-46.5910856 -23.5414707),20,METROPOLITANA DE SÃO PAULO,35,132.40597716733186,490.2435750872082,1120.8387105003737
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345,-23.5148713,-46.5200703,POINT (-46.5200703 -23.5148713),20,METROPOLITANA DE SÃO PAULO,35,572.8836576495721,706.6640338572441,1901.8835014845054
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,-23.5577926,-46.6738109,POINT (-46.6738109 -23.5577926),20,METROPOLITANA DE SÃO PAULO,35,118.43530313007429,165.8761499161964,297.9851638241592
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954,-23.5317574,-46.4904625,POINT (-46.4904625 -23.5317574),20,METROPOLITANA DE SÃO PAULO,35,46.9555461898416,673.8574816594354,1728.1841887070336
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654,-23.5558529,-46.6505512,POINT (-46.6505512 -23.5558529),20,METROPOLITANA DE SÃO PAULO,35,134.90821982307858,277.6031317122654,265.23979625211376
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587,-23.5486945,-46.6144899,POINT (-46.6144899 -23.5486945),20,METROPOLITANA DE SÃO PAULO,35,137.01288424751877,1072.951397745931,641.2592645560193
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244,-23.5408823,-46.636466,POINT (-46.636466 -23.5408823),20,METROPOLITANA DE SÃO PAULO,35,289.4507026608207,695.240903294204,388.0297741098828
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592,-23.5064535,-46.7136473,POINT (-46.7136473 -23.5064535),20,METROPOLITANA DE SÃO PAULO,35,270.1280153645689,1071.4980514931103,484.6427990442819
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501,-23.5360306,-46.5387385,POINT (-46.5387385 -23.5360306),20,METROPOLITANA DE SÃO PAULO,35,181.0384300182894,264.21495426744104,1122.2666305685432
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020,-23.5519164,-46.6292206,POINT (-46.6292206 -23.5519164),20,METROPOLITANA DE SÃO PAULO,35,125.71960868950055,136.29375015363937,402.06314156002475
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406,-23.5521762,-46.6274643,POINT (-46.6274643 -23.5521762),20,METROPOLITANA DE SÃO PAULO,35,264.4893474060154,146.7659432447511,548.3891533637426
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598,-23.5394195,-46.5782329,POINT (-46.5782329 -23.5394195),20,METROPOLITANA DE SÃO PAULO,35,40.46146954891061,674.2993308012723,214.71685500014823
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517,-23.4738135,-46.6437365,POINT (-46.6437365 -23.4738135),20,METROPOLITANA DE SÃO PAULO,35,136.87534079949654,254.47828448309767,696.9172628010232
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422,-23.5634187,-46.6266294,POINT (-46.6266294 -23.5634187),20,METROPOLITANA DE SÃO PAULO,35,85.44992388120016,603.5254915525844,878.169485475551
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049,-23.5546456,-46.6319897,POINT (-46.6319897 -23.5546456),20,METROPOLITANA DE SÃO PAULO,35,212.17678429691082,457.89757714091024,90.44599399073708
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750,-23.559334,-46.6328694,POINT (-46.6328694 -23.559334),20,METROPOLITANA DE SÃO PAULO,35,236.92353737692795,83.74338561158838,235.74257444210383
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538,-23.6085838,-46.6868596,POINT (-46.6868596 -23.6085838),20,METROPOLITANA DE SÃO PAULO,35,80.87681618045013,936.2204797171169,1445.5263006890787
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177,-23.5141046,-46.6868077,POINT (-46.6868077 -23.5141046),20,METROPOLITANA DE SÃO PAULO,35,265.2711060414799,1313.2912379957966,800.384344862143
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281,-23.5476999,-46.6051591,POINT (-46.6051591 -23.5476999),20,METROPOLITANA DE SÃO PAULO,35,361.09588447131307,154.6844585213029,860.8385835911276
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066,-23.5555266,-46.6346329,POINT (-46.6346329 -23.5555266),20,METROPOLITANA DE SÃO PAULO,35,333.3445706420578,254.83681130071034,280.3931966098791
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754,-23.6082459,-46.635422,POINT (-46.635422 -23.6082459),20,METROPOLITANA DE SÃO PAULO,35,119.17256657992998,1124.268420904763,1032.5220545762993
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233,-23.529923,-46.58819,POINT (-46.58819 -23.529923),20,METROPOLITANA DE SÃO PAULO,35,35.71647153250163,682.2774451203552,705.304550447345
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536,-23.4686737,-46.5389806,POINT (-46.5389806 -23.4686737),20,METROPOLITANA DE SÃO PAULO,35,2568.3276752412066,3208.9903875840087,3536.5883807368555
Avenida dos Ourives,Jardim São Savério,63,3,1,Apartamento,1460,2018,-23.6539478,-46.6124891,POINT (-46.6124891 -23.6539478),20,METROPOLITANA DE SÃO PAULO,35,207.14528223121334,416.449665852295,1495.6784291892152
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958,-23.4670391,-46.6520604,POINT (-46.6520604 -23.4670391),20,METROPOLITANA DE SÃO PAULO,35,42.222557725431834,413.6823557273566,909.7828817180883
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571,-23.5408823,-46.636466,POINT (-46.636466 -23.5408823),20,METROPOLITANA DE SÃO PAULO,35,289.4507026608207,695.240903294204,388.0297741098828
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462,-23.6141848,-46.6094387,POINT (-46.6094387 -23.6141848),20,METROPOLITANA DE SÃO PAULO,35,76.82924903827548,458.2684913748084,225.88799092668162
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,Casa,2500,2594,-23.5484924,-46.5879422,POINT (-46.5879422 -23.5484924),20,METROPOLITANA DE SÃO PAULO,35,230.82338393969286,449.13801047569353,967.7934840772753
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969,-23.54140955,-46.64689716717812,POINT (-46.64689716717812 -23.54140955),20,METROPOLITANA DE SÃO PAULO,35,405.2882048573451,248.05218433775133,254.05567793642498
Rua Ricardo Avenarius,Paraíso do Morumbi,24,1,0,Apartamento,900,1245,-23.6183801,-46.7288057,POINT (-46.7288057 -23.6183801),20,METROPOLITANA DE SÃO PAULO,35,36.49922284286478,235.84861914885732,1592.0460074414957
Rua Nova dos Portugueses,Chora Menino,100,3,2,Casa,2450,2771,-23.4924779,-46.6415669,POINT (-46.6415669 -23.4924779),20,METROPOLITANA DE SÃO PAULO,35,271.83852450349207,453.0826998858649,1100.3995899558201
Rua Itamonte,Vila Medeiros,48,2,1,Apartamento,1600,1955,-23.490097,-46.5795333,POINT (-46.5795333 -23.490097),20,METROPOLITANA DE SÃO PAULO,35,174.67257568729914,533.9091037744324,2641.7237646538
Avenida Antônio Buono,Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110,1153,-23.5811498,-46.5341672,POINT (-46.5341672 -23.5811498),20,METROPOLITANA DE SÃO PAULO,35,194.42914284469182,624.4930769052601,874.6896953308973
Avenida Rangel Pestana,Brás,32,1,0,Apartamento,1900,2249,-23.5474342,-46.6251643,POINT (-46.6251643 -23.5474342),20,METROPOLITANA DE SÃO PAULO,35,202.28336843625098,508.75282775809984,569.6826751718395
Rua Cônego Vicente Miguel Marino,Barra Funda,33,1,0,Apartamento,2200,2624,-23.5266013,-46.6540593,POINT (-46.6540593 -23.5266013),20,METROPOLITANA DE SÃO PAULO,35,205.5162752654065,303.2688101203377,466.22512286226333
Rua Salvador Gaeta,Vila Augusta,68,2,2,Casa,2426,2574,-23.4797721,-46.5467188,POINT (-46.5467188 -23.4797721),20,METROPOLITANA DE SÃO PAULO,35,1536.086888626024,2299.3385852800193,2879.700702849583
Rua Casa do Ator,Vila Olímpia,69,2,1,Apartamento,2910,3970,-23.5989412,-46.678818,POINT (-46.678818 -23.5989412),20,METROPOLITANA DE SÃO PAULO,35,244.7341549764348,768.1032522974107,895.3871391995945
Av.nove de Julho,Bela Vista,25,1,0,Apartamento,2500,3008,-23.5606299,-46.6551101,POINT (-46.6551101 -23.5606299),20,METROPOLITANA DE SÃO PAULO,35,451.72575867574346,134.36912892510114,110.90366248546162
Rua Joaquim Afonso de Souza,Vila Celeste,110,2,0,Casa,1300,1355,-23.4828324,-46.6624231,POINT (-46.6624231 -23.4828324),20,METROPOLITANA DE SÃO PAULO,35,267.0010089221366,580.879796400816,1087.9455939484787
Rua Glória do Goitá 335 Apt 112,Jardim Independência,29,1,0,Studio e kitnet,1180,1411,-23.5846819,-46.558569,POINT (-46.558569 -23.5846819),20,METROPOLITANA DE SÃO PAULO,35,209.75922214624282,470.87684232176065,1567.1632008834863
Rua Martim Burchard,Brás,44,2,0,Apartamento,2250,2712,-23.5461441,-46.6178889,POINT (-46.6178889 -23.5461441),20,METROPOLITANA DE SÃO PAULO,35,142.67342961288526,957.2131786256822,216.58558735909605
Rua Tuiuti,Tatuapé,61,2,1,Apartamento,1900,2882,-23.5451183,-46.5744197,POINT (-46.5744197 -23.5451183),20,METROPOLITANA DE SÃO PAULO,35,136.29051580587338,197.9745830827262,434.990263409727
Rua São Lourenço,Vila Vivaldi,64,2,1,Casa,2500,2715,-23.6594912,-46.5601745,POINT (-46.5601745 -23.6594912),20,METROPOLITANA DE SÃO PAULO,35,3472.146061044698,3727.7674854779593,4907.4667851831
Rua João Mafra,Vila Brasílio Machado,56,2,2,Apartamento,1900,2700,-23.6136949,-46.6121277,POINT (-46.6121277 -23.6136949),20,METROPOLITANA DE SÃO PAULO,35,72.58644727805738,412.7150333436817,438.33627068802406
