address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Herval,Belenzinho,21,1,0,Studio e kitnet,2400,2939,-23.5414707,-46.5910856
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345,-23.5148713,-46.5200703
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,-23.5577926,-46.6738109
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954,-23.5317574,-46.4904625
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654,-23.5558529,-46.6505512
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587,-23.5486945,-46.6144899
Rua Guararapes,Brooklin Paulista,72,2,1,Apartamento,3500,5187,-21.2436349,-50.6550971
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244,-23.5408823,-46.636466
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592,-23.5064535,-46.7136473
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501,-23.5360306,-46.5387385
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020,-23.5519164,-46.6292206
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406,-23.5521762,-46.6274643
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598,-23.5394195,-46.5782329
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517,-23.4738135,-46.6437365
Rua Orestes Barbosa,Jardim Paraventi,70,2,1,Casa,1600,1768,-22.8129816,-43.2079696
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422,-23.5634187,-46.6266294
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049,-23.5546456,-46.6319897
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750,-23.559334,-46.6328694
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538,-23.6085838,-46.6868596
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177,-23.5141046,-46.6868077
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281,-23.5476999,-46.6051591
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066,-23.5555266,-46.6346329
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754,-23.6082459,-46.635422
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233,-23.529923,-46.58819
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536,-23.4686737,-46.5389806
Avenida dos Ourives,Jardim São Savério,63,3,1,Apartamento,1460,2018,-23.6539478,-46.6124891
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958,-23.4670391,-46.6520604
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571,-23.5408823,-46.636466
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462,-23.6141848,-46.6094387
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,Casa,2500,2594,-23.5484924,-46.5879422
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969,-23.54140955,-46.64689716717812
Rua Ricardo Avenarius,Paraíso do Morumbi,24,1,0,Apartamento,900,1245,-23.6183801,-46.7288057
Rua Nova dos Portugueses,Chora Menino,100,3,2,Casa,2450,2771,-23.4924779,-46.6415669
Rua Itamonte,Vila Medeiros,48,2,1,Apartamento,1600,1955,-23.490097,-46.5795333
Avenida Antônio Buono,Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110,1153,-23.5811498,-46.5341672
Avenida Rangel Pestana,Brás,32,1,0,Apartamento,1900,2249,-23.5474342,-46.6251643
