address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Herval,Belenzinho,21,1,0,Studio e kitnet,2400,2939,,
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345,-23.5148713,-46.5200703
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,-23.5577926,-46.6738109
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954,,
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654,-23.5558529,-46.6505512
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587,-23.5486945,-46.6144899
Rua Guararapes,Brooklin Paulista,72,2,1,Apartamento,3500,5187,,
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244,,
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592,-23.5064535,-46.7136473
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501,-23.5360306,-46.5387385
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020,-23.5519164,-46.6292206
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406,-23.5521762,-46.6274643
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598,-23.5394195,-46.5782329
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517,-23.4738135,-46.6437365
Rua Orestes Barbosa,Jardim Paraventi,70,2,1,Casa,1600,1768,,
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422,,
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049,,
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750,-23.559334,-46.6328694
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538,,
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177,,
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281,-23.5476999,-46.6051591
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066,-23.5555266,-46.6346329
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754,-23.6082459,-46.635422
