address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Avenida São Miguel,Vila Marieta,15,1,1,Studio e kitnet,1030,1345,-23.5148713,-46.5200703
Rua Oscar Freire,Pinheiros,18,1,0,Apartamento,4000,4661,-23.5577926,-46.6738109
Rua Barata Ribeiro,Bela Vista,19,1,0,Studio e kitnet,4000,4654,-23.5558529,-46.6505512
Rua Domingos Paiva,Brás,50,2,1,Apartamento,3800,4587,-23.5486945,-46.6144899
Rua José Peres Campelo,Piqueri,32,2,0,Apartamento,1200,1592,-23.5064535,-46.7136473
Rua Guaperuvu,Vila Aricanduva,36,1,0,Apartamento,1200,1501,-23.5360306,-46.5387385
Rua dos Carmelitas,Sé,63,2,0,Apartamento,1500,2020,-23.5519164,-46.6292206
Rua Tabatinguera,Sé,34,1,0,Apartamento,1000,1406,-23.5521762,-46.6274643
Rua Henrique Sertório,Tatuapé,32,1,0,Studio e kitnet,2100,2598,-23.5394195,-46.5782329
Rua Herison,Lauzane Paulista,50,3,0,Casa em condomínio,1437,1517,-23.4738135,-46.6437365
Rua Conselheiro Furtado,Liberdade,28,1,0,Studio e kitnet,2300,2750,-23.559334,-46.6328694
Rua Guarapuava,Mooca,36,1,0,Apartamento,1850,2281,-23.5476999,-46.6051591
Rua dos Estudantes,Sé,30,1,0,Apartamento,1700,2066,-23.5555266,-46.6346329
Rua Fernando de Noronha,Chácara Inglesa,62,2,1,Apartamento,2700,3754,-23.6082459,-46.635422
Rua Nadir,Gopoúva,54,2,1,Apartamento,2000,2536,-23.4686737,-46.5389806
Rua Dom Macário,Saúde,54,2,0,Apartamento,1100,1462,-23.6141848,-46.6094387
Rua Itamonte,Vila Medeiros,48,2,1,Apartamento,1600,1955,-23.490097,-46.5795333
Avenida Rangel Pestana,Brás,32,1,0,Apartamento,1900,2249,-23.5474342,-46.6251643
Rua Salvador Gaeta,Vila Augusta,68,2,2,Casa,2426,2574,-23.4797721,-46.5467188
Rua Casa do Ator,Vila Olímpia,69,2,1,Apartamento,2910,3970,-23.5989412,-46.678818
