address,district,area,bedrooms,garage,type,rent,total,latitude,longitude
Rua Herval,Belenzinho,21,1,0,Studio e kitnet,2400,2939,,
Rua Júlio Sayago,Vila Ré,56,2,2,Casa em condomínio,1750,1954,,
Rua Guararapes,Brooklin Paulista,72,2,1,Apartamento,3500,5187,,
Avenida Cásper Líbero,Centro,26,1,0,Studio e kitnet,1727,2244,,
Rua Orestes Barbosa,Jardim Paraventi,70,2,1,Casa,1600,1768,,
Rua Scuvero,Cambuci,75,2,0,Casa,2266,2422,,
Rua Doutor Tomaz de Lima,Liberdade,64,2,0,Apartamento,1530,2049,,
Rua Guaraiuva,Cidade Monções,30,1,1,Casa,2394,2538,,
Rua Torres da Barra,Água Branca,32,1,0,Apartamento,1764,2177,,
Avenida Condessa Elizabeth de Robiano,Vila Moreira,40,2,1,Apartamento,1900,2233,,
Avenida dos Ourives,Jardim São Savério,63,3,1,Apartamento,1460,2018,,
Rua Elza Guimarães,Vila Amalia (zona Norte),59,3,1,Apartamento,1500,1958,,
Avenida Cásper Líbero,Centro,25,1,0,Studio e kitnet,2100,2571,,
Rua Marcelo Homem de Melo,Quarta Parada,62,2,0,Casa,2500,2594,,
Largo do Arouche,Santa Efigênia,80,1,0,Apartamento,2300,2969,,
Rua Ricardo Avenarius,Paraíso do Morumbi,24,1,0,Apartamento,900,1245,,
Rua Nova dos Portugueses,Chora Menino,100,3,2,Casa,2450,2771,,
Avenida Antônio Buono,Vila Guarani(zona Leste),35,1,0,Studio e kitnet,1110,1153,,
Rua Cônego Vicente Miguel Marino,Barra Funda,33,1,0,Apartamento,2200,2624,,
Rua Joaquim Afonso de Souza,Vila Celeste,110,2,0,Casa,1300,1355,,
Rua Glória do Goitá 335 Apt 112,Jardim Independência,29,1,0,Studio e kitnet,1180,1411,,
Rua das Palmeiras,Vila Buarque,11,1,0,Studio e kitnet,1560,1904,,
Rua João Mafra,Vila Brasílio Machado,56,2,2,Apartamento,1900,2700,,
Rua Sebastião Mariano,Vila Carlos de Campos,60,2,1,Casa,1600,1668,,
Avenida Rio Branco,Campos Elíseos,35,1,0,Apartamento,1300,1580,,
Rua Tanque Velho,Vila Nivi,45,1,0,Casa,500,551,,
Rua Itiúba,Vila Celeste,47,2,0,Casa,1589,1799,,
Rua Hanna Abduch,Vila Palmeiras,80,2,0,Casa,2150,2232,,
Rua Sampaio Corrêa,Jardim Pereira Leite,46,2,0,Apartamento,900,1075,,
Rua Elísio de Carvalho,Vila São Luís(zona Oeste),12,1,0,Apartamento,1122,1208,,
Rua Arnaldo Cintra,Vila Moreira,50,2,1,Apartamento,2500,2950,,
Rua Oscar Cintra Gordinho,Liberdade,25,1,0,Studio e kitnet,850,1102,,
Rua Manuel Leiroz,Vila Penteado,31,1,0,Apartamento,1500,1928,,
Rua Helena Zerrener,Liberdade,23,1,0,Studio e kitnet,753,1162,,
Rua Sete Barras,Vila Moinho Velho,70,2,1,Apartamento,3218,3832,,
Rua Cônego Vicente Miguel Marino,Barra Funda,38,1,1,Apartamento,2400,2953,,
Rua Doutor Fleury Silveira,Vila Santa Maria,23,1,1,Casa,700,855,,
Rua Doutor Bento Teobaldo Ferraz,Várzea da Barra Funda,31,1,0,Apartamento,2100,2429,,
Avenida Doutor Bernardino Brito Fonseca de Carvalho,Vila Talarico,62,3,1,Apartamento,1700,2217,,
Rua do Tatuapé,Maranhão,32,1,0,Apartamento,1550,1795,,
Rua Doutor Artur Rudge Ramos,Vila Caminho do Mar,98,2,1,Casa,1700,1841,,
